,Ville,CodeZIP,Latitude,Longitude,Type,Tel,Modele,Annee,Prix,Km,Argus
27,Le Bouscat,33110,44.8630273,-0.5967369,professionnel,0531081574,intens,2014,17890.0,18193.0,Sup_Argus
28,Lormont,33310,44.8727485,-0.5210565,professionnel,0582848237,intens,2014,19390.0,10.0,Sup_Argus
29,Lesparre-Médoc,33340,45.3335841,-0.8777757,professionnel,0556410095,zen,2014,17990.0,3900.0,Sup_Argus
30,Bidart,64210,43.4248485,-1.5693045,professionnel,,intens,2014,17290.0,10.0,Sup_Argus
31,Lormont,33310,44.8727485,-0.5210565,professionnel,0582848237,intens,2014,18290.0,11000.0,Sup_Argus
32,Sérignac-sur-Garonne,47310,44.151745,0.5446912,professionnel,,intens,2014,19490.0,10.0,Sup_Argus
33,Mourenx,64150,43.3758933,-0.6488505,professionnel,,business,2014,16590.0,18000.0,Inf_Argus
34,Saint-Jean-de-Luz,64500,43.3852009,-1.6469253,professionnel,,business,2014,16500.0,23600.0,Inf_Argus
35,Bayonne,64100,43.5031621,-1.4724751,professionnel,0540017303,zen,2014,18490.0,1550.0,Sup_Argus
36,Le Bouscat,33110,44.8630273,-0.5967369,professionnel,0531081574,zen,2014,17890.0,4580.0,Sup_Argus
37,Saint-Macaire,33490,44.6065344,-0.1682271,professionnel,,intens,2014,17880.0,11000.0,Sup_Argus
38,Pessac,33600,44.8019097,-0.6488505,professionnel,0531081450,business,2013,16500.0,24127.0,Inf_Argus
39,Le Bouscat,33110,44.8630273,-0.5967369,professionnel,0531081574,intens,2014,17890.0,22747.0,Sup_Argus
40,Mérignac,33700,44.8391346,-0.6867939,professionnel,0556132965,zen,2014,17490.0,17400.0,Sup_Argus
41,Bergerac,24100,44.8681363,0.5068824,professionnel,0553636565,intens,2014,17395.0,18503.0,Sup_Argus
42,Le Bouscat,33110,44.8630273,-0.5967369,professionnel,0531081574,intens,2014,17890.0,12839.0,Sup_Argus
43,Bergerac,24100,44.8681363,0.5068824,professionnel,0553636565,business,2014,17595.0,19734.0,Sup_Argus
44,La Teste-de-Buch,33260,44.5628136,-1.1929114,professionnel,2453818836,intens,2014,19290.0,10.0,Sup_Argus
45,Pessac,33600,44.8019097,-0.6488505,professionnel,0531081450,zen,2013,15900.0,37241.0,Sup_Argus
46,Le Bouscat,33110,44.8630273,-0.5967369,professionnel,0531081574,intens,2014,17490.0,3140.0,Sup_Argus
47,Bayonne,64100,43.5031621,-1.4724751,professionnel,0540017303,intens,2013,17490.0,21778.0,Sup_Argus
48,Dax,40100,43.7045277,-1.0634024,professionnel,0582848036,intens,2014,18990.0,10.0,Sup_Argus
49,Mont-de-Marsan,40000,43.8948911,-0.4974359,professionnel,0524449118,intens,2014,18590.0,23739.0,Sup_Argus
50,Oloron-Sainte-Marie,64400,43.1924098,-0.6204165,professionnel,0531081516,business,2014,17300.0,20320.0,Sup_Argus
51,Lormont,33310,44.8727485,-0.5210565,professionnel,0531081576,zen,2014,18590.0,770.0,Sup_Argus
52,Saint-Vincent-de-Paul,40990,43.7666433,-1.0777723,professionnel,,intens,2014,18990.0,5404.0,Sup_Argus
53,Bordeaux,33000,44.8350088,-0.587269,professionnel,0557818910,intens,Diesel,18690.0,0.0,Sup_Argus
54,Lormont,33310,44.8727485,-0.5210565,professionnel,0531081576,business,2014,17790.0,9418.0,Sup_Argus
55,Salignac,33240,45.0179777,-0.3939287,professionnel,,business,2014,17200.0,13360.0,Sup_Argus
56,Le Bouscat,33110,44.8630273,-0.5967369,professionnel,0531081574,intens,2014,18290.0,11565.0,Sup_Argus
57,Trélissac,24750,45.2029795,0.7778598,professionnel,0634905428,intens,2014,17400.0,14082.0,Sup_Argus
58,Mérignac,33700,44.8391346,-0.6867939,professionnel,0608559898,business,2014,15200.0,22000.0,Inf_Argus
59,Saint-Martin-de-Seignanx,40390,43.5340065,-1.3083685,professionnel,0559563596,intens,2014,19500.0,1500.0,Sup_Argus
60,Bordeaux,33000,44.8350088,-0.587269,professionnel,0557818910,zen,2014,16950.0,10.0,Sup_Argus
61,Mouguerre,64990,43.4556424,-1.4241426,professionnel,,zen,2014,18790.0,50.0,Sup_Argus
62,Mérignac,33700,44.8391346,-0.6867939,professionnel,0825809109,business,2014,14800.0,19520.0,Inf_Argus
63,Lormont,33310,44.8727485,-0.5210565,professionnel,0531081576,business,2013,15490.0,21881.0,Inf_Argus
64,Pau,64000,43.3192848,-0.3465971,professionnel,0559028670,intens,2014,19500.0,1190.0,Sup_Argus
65,Lormont,33310,44.8727485,-0.5210565,professionnel,0531081576,business,2013,16490.0,20750.0,Inf_Argus
66,Capbreton,40130,43.6381666,-1.4338047,professionnel,,intens,2013,15990.0,28830.0,Sup_Argus
67,64460,Renault,46.513515,1.5695349,professionnel,,,1 KM,18200.0,0.0,
68,Lormont,33310,44.8727485,-0.5210565,professionnel,0531081576,business,2014,17390.0,9118.0,Sup_Argus
69,Eysines,33320,44.9139357,-0.6867939,professionnel,,intens,2014,17490.0,9206.0,Sup_Argus
70,Bordeaux,33300,44.8772685,-0.554149,professionnel,,intens,2014,19990.0,10.0,Sup_Argus
71,Pessac,33600,44.8019097,-0.6488505,professionnel,0531081450,zen,2013,15900.0,10541.0,Sup_Argus
72,Biscarrosse,40600,44.4119703,-1.1929114,professionnel,,intens,2014,19490.0,8900.0,Sup_Argus
73,Biscarrosse,40600,44.4119703,-1.1929114,professionnel,,intens,2013,18290.0,21500.0,Sup_Argus
74,Dax,40100,43.7045277,-1.0634024,professionnel,0524449901,business,2014,16490.0,19459.0,Inf_Argus
75,Bayonne,64100,43.5031621,-1.4724751,professionnel,0540017303,intens,2014,18490.0,4633.0,Sup_Argus
76,Tresses,33370,44.8403449,-0.4408037,professionnel,,intens,2014,18990.0,350.0,Sup_Argus
77,Périgueux,24000,45.1893384,0.7152935,professionnel,,intens,2013,16500.0,27000.0,Sup_Argus
78,Pau,64000,43.3192848,-0.3465971,professionnel,0547200024,zen,2013,15990.0,22849.0,Sup_Argus
79,Parentis-en-Born,40160,44.356946,-1.0203224,professionnel,0558784350,intens,2014,19990.0,5.0,Sup_Argus
80,Bordeaux,33000,44.8350088,-0.587269,professionnel,0557818910,zen,2013,15990.0,18500.0,Sup_Argus
81,Mérignac,33700,44.8391346,-0.6867939,professionnel,0556120000,business,2013,16990.0,14768.0,Sup_Argus
82,Lormont,33310,44.8727485,-0.5210565,professionnel,0582848237,intens,2014,18990.0,10.0,Sup_Argus
83,Pessac,33600,44.8019097,-0.6488505,professionnel,0531081450,business,2013,16500.0,23752.0,Inf_Argus
84,Trélissac,24750,45.2029795,0.7778598,professionnel,0634905428,intens,2014,17400.0,15688.0,Sup_Argus
85,Le Bouscat,33110,44.8630273,-0.5967369,professionnel,0531081574,intens,2014,17590.0,14763.0,Sup_Argus
86,Andernos-les-Bains,33510,44.7612915,-1.0681918,professionnel,,intens,2014,17490.0,14300.0,Sup_Argus
87,Bergerac,24100,44.8681363,0.5068824,professionnel,,business,2014,16795.0,19993.0,Inf_Argus
88,Mont-de-Marsan,40000,43.8948911,-0.4974359,professionnel,0524449118,business,2013,16590.0,20288.0,Inf_Argus
89,Saint-Jean-de-Luz,64500,43.3852009,-1.6469253,professionnel,,intens,2014,19500.0,10.0,Sup_Argus
90,Boé,47550,44.1749628,0.6441101,professionnel,0553684931,intens,2014,19490.0,10.0,Sup_Argus
91,Pau,64000,43.3192848,-0.3465971,professionnel,6400000000,zen,2013,13490.0,17000.0,Inf_Argus
92,Langon,33210,44.5310129,-0.2807868,professionnel,0556634469,zen,2014,16690.0,11470.0,Sup_Argus
93,Parentis-en-Born,40160,44.356946,-1.0203224,professionnel,0558784350,business,2014,16990.0,16492.0,Sup_Argus
94,Dax,40100,43.7045277,-1.0634024,professionnel,0524449901,intens,2014,18490.0,18500.0,Sup_Argus
95,Bergerac,24100,44.8681363,0.5068824,professionnel,0553636565,business,2014,16795.0,19993.0,Inf_Argus
96,Pau,64000,43.3192848,-0.3465971,professionnel,0547200024,business,2014,17900.0,8650.0,Sup_Argus
97,Libourne,33500,44.9344733,-0.2150873,professionnel,0557244071,zen,2013,16800.0,12729.0,Sup_Argus
98,Saint-Paul-lès-Dax,40990,43.7666433,-1.0777723,professionnel,,intens,2014,18990.0,5.0,Sup_Argus
99,Mont-de-Marsan,40000,43.8948911,-0.4974359,professionnel,0558859191,intens,2014,19990.0,10.0,Sup_Argus
100,Pau,64000,43.3192848,-0.3465971,professionnel,0559028670,intens,2013,17990.0,11270.0,Sup_Argus
101,Trélissac,24750,45.2029795,0.7778598,professionnel,0634905428,intens,2013,16900.0,26409.0,Sup_Argus
102,Mérignac,33700,44.8391346,-0.6867939,professionnel,0557215831,intens,2013,20490.0,11000.0,Sup_Argus
103,Lormont,33310,44.8727485,-0.5210565,professionnel,0531081576,intens,2014,17891.0,18403.0,Sup_Argus
104,Dax,40100,43.7045277,-1.0634024,professionnel,0524449901,intens,2014,18490.0,19500.0,Sup_Argus
105,Anglet,64600,43.5026588,-1.5111806,professionnel,0611648631,intens,2014,17990.0,10.0,Sup_Argus
106,Uzein,64230,43.3865634,-0.4313729,professionnel,0559331638,business,2014,15000.0,18144.0,Inf_Argus
107,Bayonne,64100,43.5031621,-1.4724751,professionnel,0535372089,intens,2013,18950.0,10.0,Sup_Argus
108,Pessac,33600,44.8019097,-0.6488505,professionnel,0531081450,zen,2014,17500.0,6923.0,Sup_Argus
109,Bergerac,24100,44.8681363,0.5068824,professionnel,0553636565,intens,2014,19595.0,3023.0,Sup_Argus
110,Saint-Sever,40500,43.7511771,-0.563609,professionnel,0558055326,zen,2014,15990.0,20850.0,Sup_Argus
111,Villenave-d'Ornon,33140,44.7649304,-0.554149,professionnel,0531081640,business,2013,15990.0,21263.0,Inf_Argus
112,Pessac,33600,44.8019097,-0.6488505,professionnel,0531081450,zen,2014,16500.0,16768.0,Sup_Argus
113,Pessac,33600,44.8019097,-0.6488505,professionnel,0531081450,intens,2014,18500.0,10683.0,Sup_Argus
114,Dax,40100,43.7045277,-1.0634024,professionnel,0524449901,business,2014,17990.0,21000.0,Sup_Argus
115,Pessac,33600,44.8019097,-0.6488505,professionnel,0531081450,business,2013,16500.0,29383.0,Inf_Argus
116,Mérignac,33700,44.8391346,-0.6867939,professionnel,0698288701,business,2014,15000.0,18013.0,Inf_Argus
117,Orthez,64300,43.500639,-0.7342734,professionnel,0559387915,intens,2013,16990.0,25997.0,Sup_Argus
118,Lormont,33310,44.8727485,-0.5210565,professionnel,0582848237,intens,2014,19390.0,10.0,Sup_Argus
119,Trélissac,24750,45.2029795,0.7778598,professionnel,0634905428,business,2014,16800.0,20116.0,Inf_Argus
120,Mérignac,33700,44.8391346,-0.6867939,professionnel,,intens,2014,18490.0,1.0,Sup_Argus
121,Lormont,33310,44.8727485,-0.5210565,professionnel,0582848237,intens,2014,19390.0,10.0,Sup_Argus
122,Bergerac,24100,44.8681363,0.5068824,professionnel,0553636565,intens,2014,17795.0,3576.0,Sup_Argus
123,Castillon-la-Bataille,33350,44.8318204,-0.0559939,particulier,,intens,2013,16500.0,8000.0,Sup_Argus
124,Saint-Loubès,33450,44.9059741,-0.3936722,particulier,,intens,2014,18000.0,7100.0,Sup_Argus
125,Escource,40210,44.2060934,-0.9438468,particulier,,intens,2014,17000.0,16000.0,Sup_Argus
126,Le Teich,33470,44.6368606,-1.0454387,particulier,,,2014,16500.0,12500.0,
127,Mussidan,24400,45.0368197,0.3376284,particulier,,,2013,15500.0,38000.0,
128,Hendaye,64700,43.340423,-1.7392812,particulier,0686415358,intens,2013,14200.0,13000.0,Sup_Argus
129,Soulac-sur-Mer,33780,45.4913816,-1.125884,particulier,,intens,2013,18000.0,25000.0,Sup_Argus
130,Port-Sainte-Foy-et-Ponchapt,33220,44.7941958,0.2057108,particulier,,life,2014,19400.0,17000.0,Sup_Argus
131,Léognan,33850,44.7271351,-0.610943,particulier,,zen,2013,16190.0,13500.0,Sup_Argus
132,Notre-Dame-de-Sanilhac,24660,45.1379008,0.7092385,particulier,,intens,2014,19500.0,15000.0,Sup_Argus
133,Agen,47000,44.2035321,0.6251541,particulier,,intens,2013,17500.0,9500.0,Sup_Argus
134,Pessac,33600,44.8019097,-0.6488505,particulier,,intens,2013,15900.0,8700.0,Sup_Argus
135,Agen,47000,44.2035321,0.6251541,particulier,0677287675,intens,2014,17800.0,13000.0,Sup_Argus
136,Mérignac,33700,44.8391346,-0.6867939,particulier,,intens,2014,19150.0,5700.0,Sup_Argus
137,Libourne,33500,44.9344733,-0.2150873,particulier,,intens,2013,17500.0,9000.0,Sup_Argus
