indx,City,Kms,Lat,Lon,Model,PCode,Phone,Price,User,Year,Argus,cCher
93,Isles-lès-Villenoy,7000,48.911358,2.8281139,Renault Captur 1.5 dCi FAP Energy 90ch ZEN M/5,77450,0184141900,16970,Pro,2014,16000.0,True
94,Isles-lès-Villenoy,1000,48.911358,2.8281139,Renault Captur 0.9 TCe Energy 90ch INTENS M/5,77450,0184141900,17240,Pro,2014,15500.0,True
95,Thiais,10,48.760344,2.387405,Renault Captur Intens dCi 90 EDC,94320,0175834788,20602,Pro,2014,17500.0,True
96,Ballancourt-sur-Essonne,5000,48.524552,2.388169,Renault Captur Intens dCi 90,91610,[],18800,Par,2014,17700.0,True
97,Boulogne-Billancourt,8949,48.8396952,2.2399123,Renault Captur DCI 90 ENERGY S&S ECO2 ZEN,92100,0174037256,17490,Pro,2014,16000.0,True
98,Brie-Comte-Robert,6105,48.6912267,2.6103697,Renault Captur TCe 90 Energy Zen S&S eco2,77170,0160625056,14390,Pro,2013,14200.0,True
99,Boulogne-Billancourt,3631,48.8396952,2.2399123,Renault Captur DCI 90 ENERGY S&S ECO2 ZEN,92100,0174037256,17990,Pro,2014,16000.0,True
100,Pontoise,9000,49.050966,2.100645,Renault Captur Intens Energy DCi 90 ivoire /noire,95000,[],18500,Par,2014,17700.0,True
101,Neauphle-le-Vieux,4500,48.814745,1.863168,RENAULT CAPTUR INTENS Energy dCi90 Gris & Orange,78640,[],17600,Par,2014,15500.0,True
102,Maurepas,5,48.7623589,1.945326,Renault captur dci 90 EDC intens neuf,78310,[],19890,Pro,2014,17500.0,True
103,Les Pavillons-sous-Bois,9500,48.90852,2.504403,Renault Captur dCi 90 Energy Zen S&S eco²,93320,0667277157,17880,Pro,2014,16000.0,True
104,Noisiel,1519,48.85478,2.628701,Renault Captur,77186,0160059293,17900,Pro,2014,16100.0,True
105,Isles-lès-Villenoy,10,48.911358,2.8281139,Renault Captur 1.5 dCi FAP Energy 90ch INTENS M/5,77450,0184141900,19640,Pro,2014,17700.0,True
106,Argenteuil,2874,48.9472096,2.2466847,Renault Captur dCi 90 Energy Zen S&S eco²,95100,0178769520,18990,Pro,2014,16000.0,True
107,Noisiel,1,48.85478,2.628701,Renault Captur dCi 90 Energy S&S eco2 Zen 5P,77186,0160059293,18900,Pro,2014,16000.0,True
108,Paris,16728,48.856614,2.3522219,Renault Captur dCi 90 Energy Business S&S eco²,75012,0144740871,15990,Pro,2014,16100.0,False
109,Melun,6234,48.542105,2.6554,Renault Captur TCe 90 Energy S&S eco2 Intens,77000,0615872883,15980,Pro,2014,15500.0,True
110,Paris,3365,48.856614,2.3522219,Renault Captur DCI 90 ENERGY ZEN S&S ECO²,75006,0146348425,17900,Pro,2013,16000.0,True
111,Conflans-Sainte-Honorine,11963,49.000275,2.09178,Renault Captur dCi 90 Energy S&S eco2 Zen,78700,0139192136,16900,Pro,2014,16000.0,True
112,Boulogne-Billancourt,5396,48.8396952,2.2399123,Renault Captur DCI 90 ENERGY S&S ECO2 INTENS,92100,0174037256,18390,Pro,2014,17700.0,True
113,Sartrouville,2,48.941106,2.158431,Renault Captur,78500,0139145454,19380,Pro,2014,16100.0,True
114,Paris,16436,48.856614,2.3522219,Renault Captur dCi 90 Energy Business S&S eco²,75012,0144740871,16490,Pro,2013,16100.0,True
115,Brie-Comte-Robert,624,48.6912267,2.6103697,Renault Captur dCi 90 Energy S&S eco2 Intens,77170,0160625056,18490,Pro,2014,17700.0,True
116,Paris,7987,48.856614,2.3522219,Renault Captur DCI 90 ENERGY S&S ECO2 ZEN,75008,0178455073,17990,Pro,2014,16000.0,True
117,Thiais,10,48.760344,2.387405,Renault Captur Intens dCi 90 EDC,94320,0175834788,20602,Pro,2014,17500.0,True
118,Coignières,60,48.750285,1.916261,Renault Captur dCi 90 Energy Intens S&S eco²,78310,0130502424,19990,Pro,2014,17700.0,True
119,Aulnay-sous-Bois,10300,48.9412151,2.4970711,Renault captur 1.5 dci 90 ch intens bv auto edc,93600,[],18990,Pro,2014,17500.0,True
120,Paris,3900,48.856614,2.3522219,Renault captur serie limitée arizona juin 2014 dci,75001,[],19290,Par,2014,18300.0,True
121,Montrouge,3690,48.816363,2.317384,Renault Captur TCe 120 Zen EDC,92120,0146128847,18290,Pro,2014,16000.0,True
122,Limay,9500,48.992181,1.735384,Renault CAPTUR TCe 120 Intens EDC,78520,[],19190,Pro,2014,17800.0,True
123,Savigny-sur-Orge,4000,48.6851259,2.349282,Captur Intens 120 EDC,91600,[],19000,Par,2014,17800.0,True
124,Sartrouville,17280,48.941106,2.158431,Renault Captur,78500,0139145454,15880,Pro,2013,16100.0,False
125,Noisiel,1,48.85478,2.628701,Renault Captur dCi 90 Intens EDC 5P,77186,0160059293,20900,Pro,2014,17500.0,True
126,Villeneuve-Saint-Georges,3500,48.7305769,2.447488,RENAULT CAPTUR INTENS ENERGY DCi 90 Options,94190,0143828979,18900,Par,2014,17700.0,True
127,Pantin,15898,48.894533,2.40963,Renault Captur DCI 90 ENERGY BUSINESS,93500,0174730257,16990,Pro,2013,16100.0,True
128,Pontoise,19700,49.050966,2.100645,Renault Captur dCi 90 Energy Zen S&S eco²,95300,0624782138,16990,Pro,2014,16000.0,True
129,Brie-Comte-Robert,10,48.6912267,2.6103697,Renault Captur TCe 90 Energy S&S eco2 Zen,77170,0160625056,16890,Pro,2014,14200.0,True
130,Thiais,7,48.760344,2.387405,Renault Captur DCI 90 ZEN EDC ECO²,94320,0141734040,18990,Pro,2014,16200.0,True
131,Isles-lès-Villenoy,10,48.911358,2.8281139,Renault Captur 1.5 dCi FAP Energy 90ch INTENS M/5,77450,0184141900,19640,Pro,2014,17700.0,True
132,Isles-lès-Villenoy,10,48.911358,2.8281139,Renault Captur 1.5 dCi FAP Energy 90ch INTENS M/5,77450,0184141900,19640,Pro,2014,17700.0,True
133,Montrouge,9367,48.816363,2.317384,Renault Captur dCi 90 Energy S&S eco2 Intens,92120,0146128847,18290,Pro,2014,17700.0,True
134,Thoiry,3500,48.865263,1.794903,Voiture SUV RENAULT Captur Intens 120 EDC,78770,[],18500,Par,2014,17800.0,True
135,Créteil,25295,48.790367,2.455572,Renault Captur dCi 90 Energy Zen S&S eco²,94000,0811708090,14980,Pro,2013,16000.0,False
136,Sartrouville,2,48.941106,2.158431,Renault Captur 1.5 DCI 90 INTENS EDC,78500,0139145454,19870,Pro,2014,17500.0,True
137,Noisiel,14958,48.85478,2.628701,Renault Captur TCe 90 Energy S&S eco2 Life 5P,77186,0160059293,14900,Pro,2013,12700.0,True
138,Paris,50,48.856614,2.3522219,Renault Captur DCI 90 INTENS EDC,75011,0174076006,20490,Pro,2014,17500.0,True
139,Isles-lès-Villenoy,10,48.911358,2.8281139,Renault Captur 1.5 dCi FAP Energy 90ch INTENS M/5,77450,0184141900,19770,Pro,2014,17700.0,True
140,Les Ulis,2410,48.6792779,2.16647,Renault Captur dCi 90 Energy Intens S&S eco2,91940,0160926972,19490,Pro,2014,17700.0,True
141,Fresnes,7,48.757205,2.326243,Renault Captur TCE 90 ENERGY S&S ECO2 INTENS,94260,0175448164,17550,Pro,2014,15500.0,True
142,Isles-lès-Villenoy,10,48.911358,2.8281139,Renault Captur 1.5 dCi FAP Energy 90ch INTENS M/5,77450,0184141900,19770,Pro,2014,17700.0,True
143,Mareil-Marly,10,48.882174,2.076817,Renault Captur dCi 90 Energy Intens S&S eco²,78750,0628537072,19990,Pro,2014,17700.0,True
144,Mareil-Marly,10,48.882174,2.076817,Renault Captur dCi 90 Energy Intens S&S eco²,78750,0628537072,19990,Pro,2014,17700.0,True
145,Montrouge,19420,48.816363,2.317384,Renault Captur 1.5 DCI 90 BUSINESS S&S ECO²,92120,0142531111,15890,Pro,2013,16100.0,False
146,Guerville,8200,48.944263,1.735422,CAPTUR INTENS Energy TCe 90 Eco 2,78930,[],16200,Par,2013,15500.0,True
147,Montrouge,13396,48.816363,2.317384,Renault Captur 1.5 DCI 90 BUSINESS S&S ECO²,92120,0142531111,16690,Pro,2014,16100.0,True
148,Aubergenville,6400,48.9591319,1.855891,RENAULT Captur Intens 1.5 dCi,78410,[],18000,Par,2013,17700.0,True
149,Maurepas,10,48.7623589,1.945326,Renault captur dci 90 intens garantie 4 ans dispo,78310,[],18490,Pro,2014,17700.0,True
150,Mantes-la-Ville,8500,48.978154,1.713371,CAPTUR Collaborateur RENAULT,78711,[],17500,Par,2013,16100.0,True
151,Les Ulis,16349,48.6792779,2.16647,Renault Captur dCi 90 Energy S&S eco2 Intens,91940,0160926972,18290,Pro,2014,17700.0,True
152,Vernouillet,6000,48.973699,1.983023,CAPTUR INTENS ENERGY Tce 90 eco²,78540,[],17200,Par,2014,15500.0,True
153,Clamart,10,48.799815,2.257289,Renault Captur,92140,0983484648,16990,Pro,2014,16100.0,True
154,Pantin,16289,48.894533,2.40963,Renault Captur DCI 90 ENERGY BUSINESS,93500,0174730257,16690,Pro,2013,16100.0,True
155,Plaisir,6000,48.817223,1.949075,RENAULT CAPTUR Zen TCe90 + options,78370,[],15500,Par,2014,14200.0,True
156,Les Pavillons-sous-Bois,10,48.90852,2.504403,Renault Captur dCi 90 Energy Intens S&S eco²,93320,0667277157,19990,Pro,2014,17700.0,True
157,Paris,7350,48.856614,2.3522219,Renault Captur DCI 90 INTENS EDC,75008,0178455073,19690,Pro,2014,17500.0,True
158,Paris,11400,48.856614,2.3522219,Renault Captur TCE 120 INTENS EDC,75011,0174076006,17490,Pro,2013,17800.0,False
159,Dampmart,6700,48.885476,2.7362479,Voiture renault,77400,[],14700,Par,2013,16100.0,False
160,Champagne-sur-Oise,23000,49.136089,2.2350979,Renault captur dci,95660,[],16900,Par,2013,18300.0,False
161,Chapet,7500,48.967085,1.933828,CAPTUR INTENS dCI 90 collaborateur Renault,78130,[],16950,Par,2013,17700.0,False
162,Ozoir-la-Ferrière,15000,48.763827,2.671739,Renault Captur Intens TCE 120 EDC,77330,[],17500,Par,2014,17800.0,False
163,Fresnes,8576,48.757205,2.326243,Renault Captur TCE 90 ENERGY S&S ECO2 ZEN,94260,0175448164,15450,Pro,2014,14200.0,True
164,Les Ulis,34608,48.6792779,2.16647,Renault Captur dCi 90 Energy Business S&S eco²,91940,0169754933,14900,Pro,2013,16100.0,False
165,Trappes,35243,48.776731,2.001844,Renault Captur DCI 90 ENERGY S&S ECO2 ZEN,78190,0161123085,13990,Pro,2013,16000.0,False
166,Sartrouville,2,48.941106,2.158431,Renault Captur 1.5 DCI 90 INTENS EDC,78500,0139145454,20780,Pro,2014,17500.0,True
167,Melun,19414,48.542105,2.6554,Renault Captur dCi 90 Energy Business,77000,0615872883,16990,Pro,2014,16100.0,True
168,Nanterre,11440,48.892423,2.215331,Renault Captur dCi 90 Intens EDC,92000,0156837400,18900,Pro,2013,17500.0,True
169,Boulogne-Billancourt,7200,48.8396952,2.2399123,Renault Captur DCI 90 ENERGY S&S ECO2 ZEN,92100,0174037256,17290,Pro,2014,16000.0,True
170,Créteil,1000,48.790367,2.455572,Renault Captur dCi 90 Energy Zen S&S eco²,94000,0811708090,17390,Pro,2014,16000.0,True
171,Vitry-sur-Seine,3256,48.792001,2.39851,Renault Captur dCi 90 Energy Intens S&S eco²,94400,0811708090,18490,Pro,2013,17700.0,True
172,Fontenay-sous-Bois,19980,48.851542,2.475907,Renault Captur dCi 90 Energy Business S&S eco²,94120,0148763773,16890,Pro,2014,16100.0,True
173,Vitry-sur-Seine,7933,48.792001,2.39851,Renault Captur dCi 90 Energy Intens S&S eco²,94400,0811708090,18490,Pro,2013,17700.0,True
174,Fontenay-sous-Bois,19092,48.851542,2.475907,Renault Captur dCi 90 Energy Business S&S eco²,94120,0148763773,16890,Pro,2014,16100.0,True
175,Mareil-Marly,1500,48.882174,2.076817,Renault Captur TCe 90 Energy Intens S&S eco²,78750,0628537072,17990,Pro,2014,15500.0,True
176,Créteil,8500,48.790367,2.455572,Renault Captur dCi 90 Business EDC eco²,94000,0811708090,18290,Pro,2014,17600.0,True
177,Montrouge,26145,48.816363,2.317384,Renault Captur 1.5 DCI 90 BUSINESS S&S ECO²,92120,0142531111,15380,Pro,2013,16100.0,False
178,Montrouge,20987,48.816363,2.317384,Renault Captur 1.5 DCI 90 BUSINESS S&S ECO²,92120,0142531111,15850,Pro,2013,16100.0,False
179,Quincy-sous-Sénart,6000,48.671191,2.540747,Captur dci 90 intens,91480,[],19100,Par,2014,17700.0,True
180,Conflans-Sainte-Honorine,34808,49.000275,2.09178,Renault Captur dCi 90 Energy Intens S&S eco2,78700,0139192136,16890,Pro,2013,17700.0,False
181,Montrouge,8634,48.816363,2.317384,Renault Captur dCi 90 Energy Zen S&S eco2,92120,0146128847,17290,Pro,2014,16000.0,True
182,Montrouge,22119,48.816363,2.317384,Renault Captur 1.5 DCI 90 BUSINESS S&S ECO²,92120,0142531111,15670,Pro,2014,16100.0,False
183,Montrouge,9508,48.816363,2.317384,Renault Captur 1.5 DCI 90 BUSINESS S&S ECO²,92120,0142531111,16880,Pro,2014,16100.0,True
184,Montrouge,20248,48.816363,2.317384,Renault Captur 1.5 DCI 90 BUSINESS S&S ECO²,92120,0142531111,15850,Pro,2013,16100.0,False
185,Montrouge,25972,48.816363,2.317384,Renault Captur 1.5 DCI 90 BUSINESS S&S ECO²,92120,0142531111,15750,Pro,2013,16100.0,False
186,Montrouge,20272,48.816363,2.317384,Renault Captur 1.5 DCI 90 BUSINESS S&S ECO²,92120,0142531111,15850,Pro,2013,16100.0,False
187,Meaux,6825,48.9562018,2.8884657,Renault Captur dCi 90 Energy Intens S&S eco²,77100,0183616192,17800,Pro,2014,17700.0,True
188,Noisiel,18718,48.85478,2.628701,Renault Captur dCi 90 Energy Zen S&S eco2,77186,0160059293,16900,Pro,2014,16000.0,True
189,Houdan,5000,48.789808,1.601126,Renault Captur Intens TCE120,78550,[],18400,Par,2014,15500.0,True
190,Le Port-Marly,1,48.880777,2.110156,Renault Captur DCI 90 ENERGY INTENS S&S ECO²,78560,0175951008,17490,Pro,2014,17700.0,False
191,Germigny-l'Evêque,21000,48.993659,2.945494,Renault Captur DCI 90 ENERGY INTENS S&S R-LINK,77910,[],15900,Par,2013,17700.0,False
192,Le Port-Marly,1,48.880777,2.110156,Renault Captur DCI 90 ENERGY INTENS S&S ECO²,78560,0175951008,17490,Pro,2014,17700.0,False
193,Le Port-Marly,10,48.880777,2.110156,Renault Captur DCI 90 ENERGY INTENS S&S ECO²,78560,0175951008,17490,Pro,2014,17700.0,False
194,Magnanville,9500,48.969534,1.68413,Captur Intens Energy DCI 90,78200,[],17000,Par,2014,17700.0,False
