indx,City,Id,Kms,Lat,Lon,Model,PCode,Phone,Price,User,Year,Argus,cCher
55,Maurepas,58,10,48.7623589,1.945326,Renault captur tce 90 intens garantie 4 ans stock,78310,[],17490,Pro,2014,15500.0,True
56,Vitry-sur-Seine,59,7933,48.792001,2.39851,Renault Captur dCi 90 Energy Intens S&S eco²,94400,0811708090,18490,Pro,2013,17700.0,True
57,Saclay,60,5950,48.73668,2.180034,Renault captur,91400,[],17900,Par,2014,16100.0,True
58,Joinville-le-Pont,61,21883,48.821267,2.472043,Renault Captur TCE 90 INTENS,94340,0142836847,15900,Pro,2014,15500.0,True
59,Isles-lès-Villenoy,62,10,48.911358,2.8281139,Renault Captur 1.2 TCe 120ch INTENS EDC/6,77450,0184141900,19640,Pro,2014,17800.0,True
60,Isles-lès-Villenoy,63,10,48.911358,2.8281139,Renault Captur 1.2 TCe 120ch INTENS EDC/6,77450,0184141900,19640,Pro,2014,17800.0,True
61,Isles-lès-Villenoy,64,10,48.911358,2.8281139,Renault Captur 1.2 TCe 120ch INTENS EDC/6,77450,0184141900,19210,Pro,2014,17800.0,True
62,Isles-lès-Villenoy,66,4000,48.911358,2.8281139,Renault Captur 1.2 TCe 120ch INTENS EDC/6,77450,0184141900,18870,Pro,2014,17800.0,True
63,Isles-lès-Villenoy,67,10,48.911358,2.8281139,Renault Captur 1.2 TCe 120ch INTENS EDC/6,77450,0184141900,19640,Pro,2014,17800.0,True
64,Isles-lès-Villenoy,68,10,48.911358,2.8281139,Renault Captur 1.2 TCe 120ch INTENS EDC/6,77450,0184141900,19640,Pro,2014,17800.0,True
65,Chelles,69,15000,48.877535,2.59016,Renault Captur dCi 90 Intens EDC,77500,0677372750,20300,Pro,2014,17500.0,True
66,Chelles,71,9900,48.877535,2.59016,Renault Captur dCi 90 Energy Intens S&S eco2,77500,0677372750,19600,Pro,2014,17700.0,True
67,Chelles,72,15000,48.877535,2.59016,Renault Captur dCi 90 Energy Zen S&S eco2,77500,0677372750,17800,Pro,2014,16000.0,True
68,Isles-lès-Villenoy,73,10,48.911358,2.8281139,Renault Captur 1.2 TCe 120ch INTENS EDC/6,77450,0184141900,19640,Pro,2014,17800.0,True
69,Isles-lès-Villenoy,74,10,48.911358,2.8281139,Renault Captur 1.2 TCe 120ch INTENS EDC/6,77450,0184141900,19440,Pro,2014,17800.0,True
70,Gentilly,75,7400,48.8138999,2.344688,Renault Captur 1.2 TCe 120 Intens EDC R,94250,[],17400,Pro,2013,17800.0,False
71,Chelles,76,7742,48.877535,2.59016,Renault Captur TCe 120 Intens EDC,77500,0677372750,18900,Pro,2014,17800.0,True
72,Chelles,77,6999,48.877535,2.59016,Renault Captur dCi 90 Energy S&S eco2 Intens,77500,0677372750,18900,Pro,2014,17700.0,True
73,Saint-Jean-les-Deux-Jumeaux,78,100,48.9514039,3.018301,Renault Captur DCI 90 NEUF,77660,[],16390,Pro,2014,18300.0,False
74,Saint-Jean-les-Deux-Jumeaux,79,24200,48.9514039,3.018301,Renault Captur Business DCI 90,77660,[],16980,Pro,2013,17600.0,False
75,Corbeil-Essonnes,80,14900,48.6102599,2.474805,Renault captur DCI 90 cv intens eco2 noir gps,91100,[],15900,Pro,2013,17700.0,False
76,Etampes,81,9000,48.434416,2.16142,Renault Captur INTENSE DCI 90CV,91150,[],16990,Pro,2013,18300.0,False
77,Chatou,82,10,48.896391,2.160098,Renault Captur TCe 90 Energy S&S eco2 Zen,78400,0130157765,17300,Pro,2014,14200.0,True
78,Brétigny-sur-Orge,83,20500,48.611486,2.30604,Renault captur 1.5 dci 90 zen eco2,91220,[],16300,Par,2013,16000.0,True
79,Samoreau,84,3098,48.423454,2.754079,Renault Captur dCi 90 Energy Zen S&S eco2,77210,0164239675,17700,Pro,2014,16000.0,True
80,Montrouge,85,18932,48.816363,2.317384,Renault Captur 1.5 DCI 90 BUSINESS EDC,92120,0142531111,17880,Pro,2014,17600.0,True
81,Paris,86,17670,48.856614,2.3522219,Renault Captur dCi 90 Energy Business S&S eco²,75012,0144740871,15990,Pro,2014,16100.0,False
82,Boulogne-Billancourt,87,22880,48.8396952,2.2399123,Renault Captur DCI 90 ENERGY BUSINESS,92100,0174037256,16790,Pro,2014,16100.0,True
83,Thiais,89,10,48.760344,2.387405,Renault Captur TCE 120 INTENS EDC,94320,0141734040,19372,Pro,2014,17800.0,True
84,Paris,90,10,48.856614,2.3522219,Renault Captur TCE 90 ENERGY LIFE S&S ECO²,75116,0140709104,14800,Pro,2014,12700.0,True
85,Coulommiers,91,24500,48.813071,3.083497,Renault captur intens tce 120 eds,77120,[],16300,Pro,2013,17800.0,False
86,Levallois-Perret,92,11,48.893217,2.287864,Renault captur 1.5 dci 90 intens edc neuve,92300,[],20500,Pro,2014,17500.0,True
87,Paris,93,5576,48.856614,2.3522219,Renault Captur TCe 90 Energy Intens S&S eco²,75012,0144740871,16500,Pro,2014,15500.0,True
88,Bois-Colombes,94,12150,48.917402,2.269675,Renault captur 1.5 dci 90 energy s&s intens eco2,92270,[],15999,Pro,2013,17700.0,False
89,Bois-d'Arcy,95,6700,48.80598,2.022188,RENAULT CAPTUR ZEN IVOIRE TOIT NOIR TCE 90 eco2,78390,[],15790,Par,2014,14200.0,True
90,Conflans-Sainte-Honorine,97,7600,49.000275,2.09178,Renault captur,78700,[],18400,Par,2014,16100.0,True
91,Limay,99,3000,48.992181,1.735384,RENAULT Captur zen 90 tce,78520,[],15300,Par,2014,14200.0,True
92,Orgeval,100,21780,48.918524,1.96978,Renault Captur dCi 90 Energy S&S eco2 Intens,78630,0139754280,17480,Pro,2014,17700.0,False
93,Isles-lès-Villenoy,101,7000,48.911358,2.8281139,Renault Captur 1.5 dCi FAP Energy 90ch ZEN M/5,77450,0184141900,16970,Pro,2014,16000.0,True
94,Isles-lès-Villenoy,102,1000,48.911358,2.8281139,Renault Captur 0.9 TCe Energy 90ch INTENS M/5,77450,0184141900,17240,Pro,2014,15500.0,True
95,Thiais,103,10,48.760344,2.387405,Renault Captur Intens dCi 90 EDC,94320,0175834788,20602,Pro,2014,17500.0,True
96,Ballancourt-sur-Essonne,104,5000,48.524552,2.388169,Renault Captur Intens dCi 90,91610,[],18800,Par,2014,17700.0,True
97,Boulogne-Billancourt,105,8949,48.8396952,2.2399123,Renault Captur DCI 90 ENERGY S&S ECO2 ZEN,92100,0174037256,17490,Pro,2014,16000.0,True
98,Brie-Comte-Robert,106,6105,48.6912267,2.6103697,Renault Captur TCe 90 Energy Zen S&S eco2,77170,0160625056,14390,Pro,2013,14200.0,True
99,Boulogne-Billancourt,107,3631,48.8396952,2.2399123,Renault Captur DCI 90 ENERGY S&S ECO2 ZEN,92100,0174037256,17990,Pro,2014,16000.0,True
100,Pontoise,108,9000,49.050966,2.100645,Renault Captur Intens Energy DCi 90 ivoire /noire,95000,[],18500,Par,2014,17700.0,True
101,Neauphle-le-Vieux,109,4500,48.814745,1.863168,RENAULT CAPTUR INTENS Energy dCi90 Gris & Orange,78640,[],17600,Par,2014,15500.0,True
102,Maurepas,110,5,48.7623589,1.945326,Renault captur dci 90 EDC intens neuf,78310,[],19890,Pro,2014,17500.0,True
103,Les Pavillons-sous-Bois,111,9500,48.90852,2.504403,Renault Captur dCi 90 Energy Zen S&S eco²,93320,0667277157,17880,Pro,2014,16000.0,True
104,Noisiel,112,1519,48.85478,2.628701,Renault Captur,77186,0160059293,17900,Pro,2014,16100.0,True
105,Isles-lès-Villenoy,113,10,48.911358,2.8281139,Renault Captur 1.5 dCi FAP Energy 90ch INTENS M/5,77450,0184141900,19640,Pro,2014,17700.0,True
106,Argenteuil,114,2874,48.9472096,2.2466847,Renault Captur dCi 90 Energy Zen S&S eco²,95100,0178769520,18990,Pro,2014,16000.0,True
107,Noisiel,115,1,48.85478,2.628701,Renault Captur dCi 90 Energy S&S eco2 Zen 5P,77186,0160059293,18900,Pro,2014,16000.0,True
108,Paris,116,16728,48.856614,2.3522219,Renault Captur dCi 90 Energy Business S&S eco²,75012,0144740871,15990,Pro,2014,16100.0,False
109,Melun,117,6234,48.542105,2.6554,Renault Captur TCe 90 Energy S&S eco2 Intens,77000,0615872883,15980,Pro,2014,15500.0,True
110,Paris,118,3365,48.856614,2.3522219,Renault Captur DCI 90 ENERGY ZEN S&S ECO²,75006,0146348425,17900,Pro,2013,16000.0,True
111,Conflans-Sainte-Honorine,119,11963,49.000275,2.09178,Renault Captur dCi 90 Energy S&S eco2 Zen,78700,0139192136,16900,Pro,2014,16000.0,True
112,Boulogne-Billancourt,120,5396,48.8396952,2.2399123,Renault Captur DCI 90 ENERGY S&S ECO2 INTENS,92100,0174037256,18390,Pro,2014,17700.0,True
113,Sartrouville,121,2,48.941106,2.158431,Renault Captur,78500,0139145454,19380,Pro,2014,16100.0,True
114,Paris,122,16436,48.856614,2.3522219,Renault Captur dCi 90 Energy Business S&S eco²,75012,0144740871,16490,Pro,2013,16100.0,True
115,Brie-Comte-Robert,123,624,48.6912267,2.6103697,Renault Captur dCi 90 Energy S&S eco2 Intens,77170,0160625056,18490,Pro,2014,17700.0,True
116,Paris,124,7987,48.856614,2.3522219,Renault Captur DCI 90 ENERGY S&S ECO2 ZEN,75008,0178455073,17990,Pro,2014,16000.0,True
117,Thiais,125,10,48.760344,2.387405,Renault Captur Intens dCi 90 EDC,94320,0175834788,20602,Pro,2014,17500.0,True
118,Coignières,126,60,48.750285,1.916261,Renault Captur dCi 90 Energy Intens S&S eco²,78310,0130502424,19990,Pro,2014,17700.0,True
119,Aulnay-sous-Bois,127,10300,48.9412151,2.4970711,Renault captur 1.5 dci 90 ch intens bv auto edc,93600,[],18990,Pro,2014,17500.0,True
120,Paris,129,3900,48.856614,2.3522219,Renault captur serie limitée arizona juin 2014 dci,75001,[],19290,Par,2014,18300.0,True
121,Montrouge,130,3690,48.816363,2.317384,Renault Captur TCe 120 Zen EDC,92120,0146128847,18290,Pro,2014,16000.0,True
122,Limay,131,9500,48.992181,1.735384,Renault CAPTUR TCe 120 Intens EDC,78520,[],19190,Pro,2014,17800.0,True
123,Savigny-sur-Orge,132,4000,48.6851259,2.349282,Captur Intens 120 EDC,91600,[],19000,Par,2014,17800.0,True
124,Sartrouville,133,17280,48.941106,2.158431,Renault Captur,78500,0139145454,15880,Pro,2013,16100.0,False
125,Noisiel,134,1,48.85478,2.628701,Renault Captur dCi 90 Intens EDC 5P,77186,0160059293,20900,Pro,2014,17500.0,True
126,Villeneuve-Saint-Georges,135,3500,48.7305769,2.447488,RENAULT CAPTUR INTENS ENERGY DCi 90 Options,94190,0143828979,18900,Par,2014,17700.0,True
127,Pantin,136,15898,48.894533,2.40963,Renault Captur DCI 90 ENERGY BUSINESS,93500,0174730257,16990,Pro,2013,16100.0,True
128,Pontoise,137,19700,49.050966,2.100645,Renault Captur dCi 90 Energy Zen S&S eco²,95300,0624782138,16990,Pro,2014,16000.0,True
129,Brie-Comte-Robert,138,10,48.6912267,2.6103697,Renault Captur TCe 90 Energy S&S eco2 Zen,77170,0160625056,16890,Pro,2014,14200.0,True
130,Thiais,139,7,48.760344,2.387405,Renault Captur DCI 90 ZEN EDC ECO²,94320,0141734040,18990,Pro,2014,16200.0,True
131,Isles-lès-Villenoy,140,10,48.911358,2.8281139,Renault Captur 1.5 dCi FAP Energy 90ch INTENS M/5,77450,0184141900,19640,Pro,2014,17700.0,True
132,Isles-lès-Villenoy,141,10,48.911358,2.8281139,Renault Captur 1.5 dCi FAP Energy 90ch INTENS M/5,77450,0184141900,19640,Pro,2014,17700.0,True
133,Montrouge,142,9367,48.816363,2.317384,Renault Captur dCi 90 Energy S&S eco2 Intens,92120,0146128847,18290,Pro,2014,17700.0,True
134,Thoiry,143,3500,48.865263,1.794903,Voiture SUV RENAULT Captur Intens 120 EDC,78770,[],18500,Par,2014,17800.0,True
135,Créteil,144,25295,48.790367,2.455572,Renault Captur dCi 90 Energy Zen S&S eco²,94000,0811708090,14980,Pro,2013,16000.0,False
136,Sartrouville,145,2,48.941106,2.158431,Renault Captur 1.5 DCI 90 INTENS EDC,78500,0139145454,19870,Pro,2014,17500.0,True
137,Noisiel,146,14958,48.85478,2.628701,Renault Captur TCe 90 Energy S&S eco2 Life 5P,77186,0160059293,14900,Pro,2013,12700.0,True
138,Paris,148,50,48.856614,2.3522219,Renault Captur DCI 90 INTENS EDC,75011,0174076006,20490,Pro,2014,17500.0,True
139,Isles-lès-Villenoy,149,10,48.911358,2.8281139,Renault Captur 1.5 dCi FAP Energy 90ch INTENS M/5,77450,0184141900,19770,Pro,2014,17700.0,True
140,Les Ulis,150,2410,48.6792779,2.16647,Renault Captur dCi 90 Energy Intens S&S eco2,91940,0160926972,19490,Pro,2014,17700.0,True
141,Fresnes,151,7,48.757205,2.326243,Renault Captur TCE 90 ENERGY S&S ECO2 INTENS,94260,0175448164,17550,Pro,2014,15500.0,True
142,Isles-lès-Villenoy,152,10,48.911358,2.8281139,Renault Captur 1.5 dCi FAP Energy 90ch INTENS M/5,77450,0184141900,19770,Pro,2014,17700.0,True
143,Mareil-Marly,154,10,48.882174,2.076817,Renault Captur dCi 90 Energy Intens S&S eco²,78750,0628537072,19990,Pro,2014,17700.0,True
144,Mareil-Marly,155,10,48.882174,2.076817,Renault Captur dCi 90 Energy Intens S&S eco²,78750,0628537072,19990,Pro,2014,17700.0,True
145,Montrouge,156,19420,48.816363,2.317384,Renault Captur 1.5 DCI 90 BUSINESS S&S ECO²,92120,0142531111,15890,Pro,2013,16100.0,False
146,Guerville,157,8200,48.944263,1.735422,CAPTUR INTENS Energy TCe 90 Eco 2,78930,[],16200,Par,2013,15500.0,True
147,Montrouge,158,13396,48.816363,2.317384,Renault Captur 1.5 DCI 90 BUSINESS S&S ECO²,92120,0142531111,16690,Pro,2014,16100.0,True
148,Aubergenville,159,6400,48.9591319,1.855891,RENAULT Captur Intens 1.5 dCi,78410,[],18000,Par,2013,17700.0,True
149,Maurepas,160,10,48.7623589,1.945326,Renault captur dci 90 intens garantie 4 ans dispo,78310,[],18490,Pro,2014,17700.0,True
150,Mantes-la-Ville,161,8500,48.978154,1.713371,CAPTUR Collaborateur RENAULT,78711,[],17500,Par,2013,16100.0,True
151,Les Ulis,162,16349,48.6792779,2.16647,Renault Captur dCi 90 Energy S&S eco2 Intens,91940,0160926972,18290,Pro,2014,17700.0,True
152,Vernouillet,163,6000,48.973699,1.983023,CAPTUR INTENS ENERGY Tce 90 eco²,78540,[],17200,Par,2014,15500.0,True
153,Clamart,164,10,48.799815,2.257289,Renault Captur,92140,0983484648,16990,Pro,2014,16100.0,True
154,Pantin,165,16289,48.894533,2.40963,Renault Captur DCI 90 ENERGY BUSINESS,93500,0174730257,16690,Pro,2013,16100.0,True
155,Plaisir,166,6000,48.817223,1.949075,RENAULT CAPTUR Zen TCe90 + options,78370,[],15500,Par,2014,14200.0,True
156,Les Pavillons-sous-Bois,167,10,48.90852,2.504403,Renault Captur dCi 90 Energy Intens S&S eco²,93320,0667277157,19990,Pro,2014,17700.0,True
157,Paris,168,7350,48.856614,2.3522219,Renault Captur DCI 90 INTENS EDC,75008,0178455073,19690,Pro,2014,17500.0,True
158,Paris,169,11400,48.856614,2.3522219,Renault Captur TCE 120 INTENS EDC,75011,0174076006,17490,Pro,2013,17800.0,False
159,Dampmart,170,6700,48.885476,2.7362479,Voiture renault,77400,[],14700,Par,2013,16100.0,False
160,Champagne-sur-Oise,171,23000,49.136089,2.2350979,Renault captur dci,95660,[],16900,Par,2013,18300.0,False
161,Chapet,172,7500,48.967085,1.933828,CAPTUR INTENS dCI 90 collaborateur Renault,78130,[],16950,Par,2013,17700.0,False
162,Ozoir-la-Ferrière,173,15000,48.763827,2.671739,Renault Captur Intens TCE 120 EDC,77330,[],17500,Par,2014,17800.0,False
163,Fresnes,174,8576,48.757205,2.326243,Renault Captur TCE 90 ENERGY S&S ECO2 ZEN,94260,0175448164,15450,Pro,2014,14200.0,True
164,Les Ulis,177,34608,48.6792779,2.16647,Renault Captur dCi 90 Energy Business S&S eco²,91940,0169754933,14900,Pro,2013,16100.0,False
165,Trappes,178,35243,48.776731,2.001844,Renault Captur DCI 90 ENERGY S&S ECO2 ZEN,78190,0161123085,13990,Pro,2013,16000.0,False
166,Sartrouville,179,2,48.941106,2.158431,Renault Captur 1.5 DCI 90 INTENS EDC,78500,0139145454,20780,Pro,2014,17500.0,True
167,Melun,180,19414,48.542105,2.6554,Renault Captur dCi 90 Energy Business,77000,0615872883,16990,Pro,2014,16100.0,True
168,Nanterre,182,11440,48.892423,2.215331,Renault Captur dCi 90 Intens EDC,92000,0156837400,18900,Pro,2013,17500.0,True
169,Boulogne-Billancourt,183,7200,48.8396952,2.2399123,Renault Captur DCI 90 ENERGY S&S ECO2 ZEN,92100,0174037256,17290,Pro,2014,16000.0,True
170,Créteil,184,1000,48.790367,2.455572,Renault Captur dCi 90 Energy Zen S&S eco²,94000,0811708090,17390,Pro,2014,16000.0,True
171,Vitry-sur-Seine,185,3256,48.792001,2.39851,Renault Captur dCi 90 Energy Intens S&S eco²,94400,0811708090,18490,Pro,2013,17700.0,True
172,Fontenay-sous-Bois,186,19980,48.851542,2.475907,Renault Captur dCi 90 Energy Business S&S eco²,94120,0148763773,16890,Pro,2014,16100.0,True
173,Vitry-sur-Seine,187,7933,48.792001,2.39851,Renault Captur dCi 90 Energy Intens S&S eco²,94400,0811708090,18490,Pro,2013,17700.0,True
174,Fontenay-sous-Bois,188,19092,48.851542,2.475907,Renault Captur dCi 90 Energy Business S&S eco²,94120,0148763773,16890,Pro,2014,16100.0,True
175,Mareil-Marly,189,1500,48.882174,2.076817,Renault Captur TCe 90 Energy Intens S&S eco²,78750,0628537072,17990,Pro,2014,15500.0,True
176,Créteil,190,8500,48.790367,2.455572,Renault Captur dCi 90 Business EDC eco²,94000,0811708090,18290,Pro,2014,17600.0,True
177,Montrouge,191,26145,48.816363,2.317384,Renault Captur 1.5 DCI 90 BUSINESS S&S ECO²,92120,0142531111,15380,Pro,2013,16100.0,False
178,Montrouge,192,20987,48.816363,2.317384,Renault Captur 1.5 DCI 90 BUSINESS S&S ECO²,92120,0142531111,15850,Pro,2013,16100.0,False
179,Quincy-sous-Sénart,193,6000,48.671191,2.540747,Captur dci 90 intens,91480,[],19100,Par,2014,17700.0,True
180,Conflans-Sainte-Honorine,194,34808,49.000275,2.09178,Renault Captur dCi 90 Energy Intens S&S eco2,78700,0139192136,16890,Pro,2013,17700.0,False
181,Montrouge,195,8634,48.816363,2.317384,Renault Captur dCi 90 Energy Zen S&S eco2,92120,0146128847,17290,Pro,2014,16000.0,True
182,Montrouge,196,22119,48.816363,2.317384,Renault Captur 1.5 DCI 90 BUSINESS S&S ECO²,92120,0142531111,15670,Pro,2014,16100.0,False
183,Montrouge,197,9508,48.816363,2.317384,Renault Captur 1.5 DCI 90 BUSINESS S&S ECO²,92120,0142531111,16880,Pro,2014,16100.0,True
184,Montrouge,198,20248,48.816363,2.317384,Renault Captur 1.5 DCI 90 BUSINESS S&S ECO²,92120,0142531111,15850,Pro,2013,16100.0,False
185,Montrouge,199,25972,48.816363,2.317384,Renault Captur 1.5 DCI 90 BUSINESS S&S ECO²,92120,0142531111,15750,Pro,2013,16100.0,False
186,Montrouge,200,20272,48.816363,2.317384,Renault Captur 1.5 DCI 90 BUSINESS S&S ECO²,92120,0142531111,15850,Pro,2013,16100.0,False
187,Meaux,201,6825,48.9562018,2.8884657,Renault Captur dCi 90 Energy Intens S&S eco²,77100,0183616192,17800,Pro,2014,17700.0,True
188,Noisiel,202,18718,48.85478,2.628701,Renault Captur dCi 90 Energy Zen S&S eco2,77186,0160059293,16900,Pro,2014,16000.0,True
189,Houdan,204,5000,48.789808,1.601126,Renault Captur Intens TCE120,78550,[],18400,Par,2014,15500.0,True
