t i t a n o u s | | 1 4 . 0 5
s n o y b e r g | | 5 . 8 2
m a t t n | | 2 5 . 3
m a r k s t o r y | | 2 1 . 4 4 1 8 6 0 4 6 5 1
r s t a c r u z | | 1 7 0 . 6
t o k u h i r o m | | 4 . 3 5
b b a t s o v | | 2 7 0 . 2 5 3 7 3 1 3 4 3
p r o b a b l y c o r e y | | 1 4 3 . 3 5 7 1 4 2 8 5 7
a l e x | | 3 1 . 7 9
i a n s t o r m t a y l o r | | 6 . 4 5
r 7 k a m u r a | | 1 5 . 5 4
T o o T a l l N a t e | | 2 6 . 1 6
j w i e g l e y | | 1 3 . 2 2
E r i s D S | | 4 . 2
m a x o g d e n | | 7 7 . 7 9
j o r d a n s i s s e l | | 6 2 . 2 3
i n g y d o t n e t | | 2 . 1 3
j u l y c o d i n g | | 1 6 5 9 . 3 3 3 3 3 3 3 3
j e r o m e e t i e n n e | | 2 8 . 2 7
a r m o n | | 6 3 . 9 6 8 7 5
3 r d - E d e n | | 2 0 . 6 3 1 5 7 8 9 4 7 4
m a t t t | | 3 3 7 . 0 6 0 6 0 6 0 6 1
a v e l i n o | | 4 7 . 1 8
j g m | | 1 5 0 . 9 7 9 1 6 6 6 6 7
o b v i o u s j i m | | 7 . 4 2 2 2 2 2 2 2 2 2 2
b e n b a l t e r | | 7 . 6 4
o r t a | | 1 6 . 9 9
c l k a o | | 2 . 1
P a u l K i n l a n | | 8 . 1 5
t e n d e r l o v e | | 1 2 . 2
k a r a n | | 9 2 . 4 3 6 7 8 1 6 0 9 2
a u d r e y t | | 1 5 . 4 1
J a k e W h a r t o n | | 4 0 7 . 4 6 7 7 4 1 9 3 5
S h o u g o | | 1 7 1 . 3 2 5
m a d s k r i s t e n s e n | | 3 5 . 7 4 4 1 8 6 0 4 6 5
f s o u z a | | 5 . 1 4
e b i d e l | | 6 2 . 0
e d u a r d o l u n d g r e n | | 5 9 . 3 1 3 4 3 2 8 3 5 8
w i l l d u r a n d | | 5 2 . 1 5
H u g o G i r a u d e l | | 1 7 . 4 1 6 6 6 6 6 6 6 7
h u e n i v e r s e | | 1 5 1 . 6 3 6 3 6 3 6 3 6
r v a g g | | 3 0 . 5 1
a g e n t z h | | 1 0 . 2 2 4 4 8 9 7 9 5 9
p a u l c b e t t s | | 1 2 . 1 4
s t e i p e t e | | 3 0 9 . 6 6 6 6 6 6 6 6 7
j u l i a n g r u b e r | | 5 . 5 3
s t o f | | 0 . 3 8
p u r c e l l | | 2 . 6 6
m i k o l a l y s e n k o | | 3 . 9 2
u j i h i s a | | 2 . 3 2
t o r v a l d s | | 8 7 6 5 . 0
m i k e j o l l e y | | 4 9 . 2
a r u n o d a | | 1 6 . 1 9
j l o r d | | 2 9 . 0 9 4 7 3 6 8 4 2 1
f e n g m k 2 | | 3 . 1 3
c o n t r a | | 2 . 0 5
j s p a h r s u m m e r s | | 9 8 . 4 1 6 6 6 6 6 6 6 7
l s m i t h 7 7 | | 0 . 9 5 2 9 4 1 1 7 6 4 7 1
y y x 9 9 0 8 0 3 | | 8 2 . 3 3 3 3 3 3 3 3 3 3
n e c o l a s | | 4 9 4 . 6 3 6 3 6 3 6 3 6
a y e n d e | | 2 5 . 5
U n k n w o n | | 1 3 1 . 0 3 8 4 6 1 5 3 8
S a m S a f f r o n | | 2 6 . 3 8 4 6 1 5 3 8 4 6
e x a m p l e 4 2 | | 1 0 . 3 6
a s k | | 2 3 . 1 0 9 0 9 0 9 0 9 1
p a s s y | | 9 . 1 7
x h z e n g A I B | | 2 9 . 6 2 2 6 4 1 5 0 9 4
r d e g g e s | | 1 4 . 0 7
l e p t u r e | | 4 3 . 4 6
c h r i s d o n e | | 3 4 . 3 1 0 8 1 0 8 1 0 8
n a c i n | | 0 . 8 3 8 7 0 9 6 7 7 4 1 9
r a d a r | | 3 5 . 4 5
h s b t | | 1 . 7 6
b t f o r d | | 4 3 . 2 5
y i h u i | | 3 0 . 5 7 4 0 7 4 0 7 4 1
e r i c h o l s c h e r | | 1 2 . 0 2 6 3 1 5 7 8 9 5
a n d r e w s m e d i n a | | 1 . 0 5
j o s h | | 6 6 . 2
d f m | | 6 . 9 8
e d n a p i r a n h a | | 3 . 2 8
m o u r n e r | | 8 9 . 5 5
a i | | 1 1 4 . 1 2 5
s o l e | | 4 . 2 3
f r e d d i x | | 0 . 7 9
d r n i c | | 1 0 . 2 3
h e y n e m a n n | | 1 1 . 2 5
m a g n a r s | | 3 2 . 6 8 0 4 1 2 3 7 1 1
f a u x 1 2 3 | | 2 . 6 9
l e a f o | | 6 1 . 3 4 4 0 8 6 0 2 1 5
m c o l l i n a | | 1 2 . 0
k l e n | | 5 3 . 7 7 1 9 2 9 8 2 4 6
d a v i d f o w l | | 1 0 . 6 4 2 8 5 7 1 4 2 9
i s a a c s | | 1 5 . 3 8
k r a i h | | 1 1 0 . 5
m m a l e c k i | | 3 . 4 2
t p o p e | | 3 6 7 . 1 7 9 4 8 7 1 7 9
m a r i j n h | | 1 8 4 . 8 8 4 6 1 5 3 8 5
m i z z y | | 2 . 8 6
p h o t o n s t o r m | | 4 3 3 . 7 0 5 8 8 2 3 5 3
f o o l 2 f i s h | | 5 4 . 3
j e z d e z | | 2 5 . 8 5
j o s e g o n z a l e z | | 1 9 . 2 9 2 1 3 4 8 3 1 5
r o b d o d s o n | | 3 . 5 4
v h f | | 1 0 6 5 . 5 1 7 2 4 1 3 8
r p f l o r e n c e | | 1 5 . 7 1
t w a d a | | 1 9 . 1 0 3 4 4 8 2 7 5 9
S h a w n M c C o o l | | 2 8 . 6 5 3 8 4 6 1 5 3 8
m r d o o b | | 1 0 1 9 . 7
c a i t p | | 5 . 9
b f i r s h | | 2 7 . 0 3 4 4 8 2 7 5 8 6
s o y j a v i | | 4 8 . 6 4
j a r e d h a n s o n | | 1 7 . 1 2
j t a u b e r | | 2 9 . 6 2 3 3 7 6 6 2 3 4
m h a r t l | | 3 2 . 5 7 8 9 4 7 3 6 8 4
m i g u r s k i | | 1 2 . 8 5 1 8 5 1 8 5 1 9
h e a d i u s | | 8 . 2 2
b e n o i t c | | 4 1 . 8 4
H a a c k e d | | 1 6 . 0 1 5 1 5 1 5 1 5 2
t i m o x l e y | | 6 . 9 8
k a n a | | 1 2 . 2 7
g k a | | 2 0 . 6 6 1 7 6 4 7 0 5 9
c o d e g a n g s t a | | 1 2 0 . 2 3 0 7 6 9 2 3 1
s t e v e k l a b n i k | | 4 . 6 6
d a r k w i n g | | 4 . 9 5
c j o h a n s e n | | 3 6 . 2 8 3 9 5 0 6 1 7 3
w e a v e j e s t e r | | 5 8 . 5
r o i d r a g e | | 1 5 . 7 4
c s s w i z a r d r y | | 3 9 8 . 1 1 5 3 8 4 6 1 5
c y a n o g e n | | 8 . 9 1 6 6 6 6 6 6 6 6 7
c o n n o r s | | 2 5 . 0
s h i f f m a n | | 4 2 . 1 5 0 9 4 3 3 9 6 2
H e n r i k J o r e t e g | | 4 5 . 3 2
b r y a n v e l o s o | | 4 . 0 5 7 9 7 1 0 1 4 4 9
s a m u e l c l a y | | 2 0 0 . 1 1 1 1 1 1 1 1 1
s e b a s t i a n b e r g m a n n | | 1 6 5 . 7 8 2 6 0 8 6 9 6
j s u e r e t h | | 8 . 5 1 3 5 1 3 5 1 3 5 1
t o m m y 3 5 1 | | 1 4 . 8 6 1 1 1 1 1 1 1 1
t u r i n g o u | | 2 9 . 4 9
a z e r | | 1 6 . 8 8
f o g u s | | 6 7 . 9 4 1 1 7 6 4 7 0 6
C o c o a n e t i c s | | 1 4 0 . 0 9 3 7 5
p h i l s t u r g e o n | | 4 0 . 2
v o j t a j i n a | | 1 6 . 8 8
g u i l l e | | 2 8 . 1 0 9 5 8 9 0 4 1 1
d o m e n i c | | 2 5 . 3 4 7 8 2 6 0 8 7
r a k y l l | | 3 9 . 4 2 5
a n t i r e z | | 3 9 0 . 3 4 8 8 3 7 2 0 9
b r a d f i t z | | 6 3 . 5 7 1 4 2 8 5 7 1 4
x i n y u 1 9 8 7 3 6 | | 8 . 5 0 8 7 7 1 9 2 9 8 2
m i g u e l g r i n b e r g | | 3 6 . 0 6 5 2 1 7 3 9 1 3
s o r a h | | 4 . 7 7
o l i v e r g i e r k e | | 1 1 . 3 4 3 7 5
c o o l w a n g l u | | 1 7 9 . 0
r i c a r d o q u e s a d a | | 2 . 2 7 1 1 8 6 4 4 0 6 8
s h a m a | | 7 . 3 4
D a t a T a b l e s | | 1 4 3 . 0
g i t s t e r | | 7 3 . 4
m a t z | | 2 7 . 0
R u b y L o u v r e | | 3 0 . 8 4 2 8 5 7 1 4 2 9
p y d a n n y | | 2 9 . 6 3
h o t o o | | 6 . 2 8
k a n g a x | | 9 5 . 2 9 8 2 4 5 6 1 4
m x c l | | 1 0 7 . 5 7 1 4 2 8 5 7 1
d a v e c h e n e y | | 1 3 . 2
j u s t i n t a d l o c k | | 2 1 . 1 0 5 2 6 3 1 5 7 9
m n o t | | 4 1 . 8 3 3 3 3 3 3 3 3 3
t m p v a r | | 3 6 . 2 3
M a t t h e w M u e l l e r | | 2 5 . 6 1
t o n y m o r r i s | | 5 . 7 1
j a k e v d p | | 1 9 . 3 7 6 4 7 0 5 8 8 2
m i c h a e l | | 5 9 . 5 9 1 8 3 6 7 3 4 7
y u v i p a n d a | | 1 . 2
C o n s t e l l a t i o n | | 1 9 . 8 2 2 9 1 6 6 6 6 7
m b o s t o c k | | 8 2 2 . 6 1 3 6 3 6 3 6 4
y i n w a n g 0 | | 2 6 3 . 3
m i t s u h i k o | | 2 1 8 . 2
a p o t o n i c k | | 1 2 9 . 0 8
p a u l m i l l r | | 5 3 . 7 9 4 1 1 7 6 4 7 1
b o s | | 3 6 . 5 4 5 4 5 4 5 4 5 5
A d a m B i e n | | 1 2 . 9 3 9 3 9 3 9 3 9 4
g n u w i l l i a m | | 1 . 3 0 1 3 6 9 8 6 3 0 1
t b r a n y e n | | 2 4 . 0 6
h a p p y p e t e r | | 6 . 9 5 6 5 2 1 7 3 9 1 3
d e f u n c t z o m b i e | | 1 8 . 0 8
g e e m u s | | 9 . 6 5 1 5 1 5 1 5 1 5 2
m g c r e a | | 5 7 . 2
p h u s l u | | 6 . 0
a l l o y | | 2 1 . 3
g f x | | 2 . 2 9
k a r m i | | 4 8 . 8 7 8 3 7 8 3 7 8 4
d u s t i n | | 1 4 . 9 6
s w a n k j e s s e | | 3 8 . 8 5 7 1 4 2 8 5 7 1
a n d r e w | | 5 . 3
m i c h a e l f i c a r r a | | 2 0 . 7 7
s c h n e e m s | | 1 5 . 6 3
c h a r l i e s o m e | | 5 5 . 9 9
s a n d a l | | 1 0 . 7 9 7 6 1 9 0 4 7 6
