,prix,annee,ville,km,tel,pro_part,argus,pos_argus,lat,long
719424972,18 000,2013,Aubergenville,0,0,p,,?,48.9591319,1.855891
673173569,17 500,2013,Mantes-la-Ville,0,0,p,,?,48.978154,1.713371
718958212,17 200,2014,Vernouillet,0,0,p,,?,48.973699,1.983023
716028522,15 500,2014,Plaisir,0,0,p,,?,48.817223,1.949075
715584652,14 700,2013,Dampmart,0,0,p,,?,48.885476,2.7362479
718443363,16 900,2013,Champagne-sur-Oise,23 000,0,p,,?,49.136089,2.2350979
718330243,16 950,2013,Chapet,0,0,p,,?,48.967085,1.933828
703941723,18 990,2014,Saint-Paul-lès-Dax,0,0,c,,?,43.724934,-1.051409
672330589,18 690,2014,Tresses,0,0,c,,?,44.847789,-0.4640499999999999
703838141,17 900,2014,Bidart,0,0,c,,?,43.439236,-1.590062
701934240,16 795,2014,Bergerac,19 993,0,c,,?,44.853806,0.483392
727622345,16 995,2013,Bergerac,21 048,0,c,,?,44.853806,0.483392
727358409,20 490,2013,Mérignac,11 000,0,c,,?,44.8448769,-0.656358
727622331,17 595,2014,Bergerac,17 084,0,c,,?,44.853806,0.483392
727307360,14 500,2014,Mérignac,24 353,0,c,,?,44.8448769,-0.656358
727314350,15 000,2014,Mérignac,18 013,0,c,,?,44.8448769,-0.656358
727310302,14 800,2014,Mérignac,19 520,0,c,,?,44.8448769,-0.656358
727284362,15 000,2014,Uzein,18 144,0,c,,?,43.399259,-0.432582
727283049,15 200,2014,Mérignac,22 000,0,c,,?,44.8448769,-0.656358
727256412,19 390,2014,Lormont,0,0,c,,?,44.880163,-0.523108
727256477,19 390,2014,Lormont,0,0,c,,?,44.880163,-0.523108
727256203,19 390,2014,Lormont,0,0,c,,?,44.880163,-0.523108
727256069,19 390,2014,Lormont,0,0,c,,?,44.880163,-0.523108
727255575,19 490,2014,Boé,0,0,c,,?,44.159599,0.628594
727256391,18 990,2014,Lormont,0,0,c,,?,44.880163,-0.523108
727255615,19 490,2014,Boé,0,0,c,,?,44.159599,0.628594
727256219,18 290,2014,Lormont,11 000,0,c,,?,44.880163,-0.523108
717283701,19 490,2014,Castelnau-de-Médoc,0,0,c,,?,45.027155,-0.798488
726343642,15 990,2014,Saint-Sever,20 850,0,c,,?,43.759137,-0.574221
726247550,13 490,2013,Pau,17 000,0,c,,?,43.2951,-0.370797
713124140,16 990,2013,Mérignac,14 768,0,c,,?,44.8448769,-0.656358
726235040,18 590,2014,Mont-de-Marsan,23 739,0,c,,?,43.893485,-0.4997819999999999
679339956,19 490,2014,Sérignac-sur-Garonne,0,0,c,,?,44.214076,0.484675
705474714,15 900,2013,Mugron,11 000,0,c,,?,43.751052,-0.7487619999999999
726235200,18 500,2014,Pessac,16 157,0,c,,?,44.80583,-0.630386
727645059,20 900,2014,Nantheuil,17 800,0,p,,?,45.414368,0.944163
726896064,13 700,2013,Urrugne,12 000,0,p,,?,43.362402,-1.700075
726807624,15 500,2013,Mussidan,38 000,0,p,,?,45.037085,0.364299
726709299,17 500,2013,Agen,0,0,p,,?,44.203142,0.616363
681342863,17 000,2014,Escource,16 000,0,p,,?,44.163863,-1.0328679
725233676,16 500,2014,Le Teich,12 500,0,p,,?,44.635606,-1.0208759
725279088,15 900,2013,Pessac,0,0,p,,?,44.80583,-0.630386
725185524,17 000,2013,Soorts-Hossegor,16 000,0,p,,?,43.664733,-1.396221
712104150,19 400,2014,Port-Sainte-Foy-et-Ponchapt,17 000,0,p,,?,44.84402799999999,0.210809
697789219,14 200,2013,Hendaye,13 000,0,p,,?,43.359399,-1.766148
722352522,16 190,2013,Léognan,13 500,0,p,,?,44.727859,-0.59709
721480583,18 800,2014,Seignosse,0,0,p,,?,43.692694,-1.384908
716961317,18 000,2014,Saint-Loubès,0,0,p,,?,44.916735,-0.4271
715219899,18 000,2013,Soulac-sur-Mer,25 000,0,p,,?,45.515125,-1.123258
711701448,19 500,2014,Notre-Dame-de-Sanilhac,15 000,0,p,,?,45.121311,0.71385
710588248,16 500,2013,Castillon-la-Bataille,0,0,p,,?,44.852067,-0.043008
706635491,19 150,2014,Mérignac,0,0,p,,?,44.8448769,-0.656358
705924778,17 800,2014,Agen,13 000,0,p,,?,44.203142,0.616363
727651290,19 690,2014,Gap,0,0,c,,?,44.559638,6.079758
692599785,15 990,2013,Aix-en-Provence,22 900,0,c,,?,43.529742,5.447426999999999
713356443,14 990,2013,Le Pontet,32 020,0,c,,?,43.9591489,4.863830999999999
727310878,14 800,2014,Aix-en-Provence,0,0,c,,?,43.529742,5.447426999999999
725457182,19 300,2014,Vitrolles,10 000,0,c,,?,43.45859799999999,5.249702999999999
727300200,14 800,2014,Hyères,18 352,0,c,,?,43.120541,6.128639
727289129,14 800,2014,Nice,11 888,0,c,,?,43.7101728,7.261953200000001
727307231,14 800,2014,Marseille,13 055,0,c,,?,43.296482,5.36978
727307893,14 800,2014,Marignane,17 078,0,c,,?,43.4212739,5.218332
727308201,14 800,2014,Hyères,16 046,0,c,,?,43.120541,6.128639
727310821,14 800,2014,Nice,10 773,0,c,,?,43.7101728,7.261953200000001
727281809,13 400,2013,Aix-en-Provence,25 313,0,c,,?,43.529742,5.447426999999999
727311667,14 500,2014,Marignane,20 078,0,c,,?,43.4212739,5.218332
727297062,14 800,2014,Aix-en-Provence,15 948,0,c,,?,43.529742,5.447426999999999
727306230,14 800,2014,Marignane,10 241,0,c,,?,43.4212739,5.218332
727294700,14 800,2014,Nice,17 147,0,c,,?,43.7101728,7.261953200000001
727288630,13 900,2013,Marignane,20 087,0,c,,?,43.4212739,5.218332
727307685,14 800,2014,Nice,13 268,0,c,,?,43.7101728,7.261953200000001
727286960,13 700,2013,Aix-en-Provence,22 466,0,c,,?,43.529742,5.447426999999999
727303140,14 800,2014,Marseille,11 841,0,c,,?,43.296482,5.36978
727310237,14 800,2014,Nice,0,0,c,,?,43.7101728,7.261953200000001
721367319,18 000,2014,Fréjus,10 000,0,p,,?,43.43315200000001,6.737034
727432384,14 990,2013,Nice,13 400,0,p,,?,43.7101728,7.261953200000001
727298582,17 100,2013,Fréjus,15 500,0,p,,?,43.43315200000001,6.737034
726742060,16 900,2013,La Seyne-sur-Mer,14 600,0,p,,?,43.102976,5.878219
726637821,16 700,2013,Vitrolles,13 500,0,p,,?,43.45859799999999,5.249702999999999
726296857,17 000,2013,Hyères,23 000,0,p,,?,43.120541,6.128639
726207274,19 500,2014,Toulon,0,0,p,,?,43.124228,5.928
726185971,15 900,2013,Ceyreste,26 000,0,p,,?,43.221502,5.634811
708351268,16 100,2013,Coudoux,22 000,0,p,,?,43.558086,5.251238
726046020,15 900,2013,Serres,23 000,0,p,,?,44.428499,5.714983999999999
725492595,17 990,2013,Rognonas,28 000,0,p,,?,43.898503,4.803017
719029675,14 900,2013,Saint-Maximin-la-Sainte-Baume,29 000,0,p,,?,43.452497,5.864004
723356277,16 200,2013,La Ciotat,17 913,0,p,,?,43.17365299999999,5.605155
722965746,19 200,2014,Simiane-Collongue,0,0,p,,?,43.429668,5.434832999999999
721628626,14 500,2013,Fayence,28 000,0,p,,?,43.624076,6.694103000000001
721555314,17 000,2013,Aix-en-Provence,10 000,0,p,,?,43.529742,5.447426999999999
721475702,17 500,2013,Saint-Chamas,28 000,0,p,,?,43.550669,5.034508
721139562,16 900,2013,Garéoult,30 000,0,p,,?,43.329229,6.045799
720464516,17 000,2013,Sainte-Maxime,16 000,0,p,,?,43.310184,6.640482
695036733,16 000,2013,Lauris,40 000,0,p,,?,43.746982,5.313600999999999
717502716,17 800,2013,Le Puy-Sainte-Réparade,20 400,0,p,,?,43.66283,5.435206
