;Model;Max resolution
323;HP Photosmart E337;2576.0
324;HP Photosmart M22;2320.0
325;HP Photosmart M23;2320.0
326;HP Photosmart M307;2080.0
327;HP Photosmart M407;2320.0
328;HP Photosmart M417;2576.0
329;HP Photosmart M425;2576.0
330;HP Photosmart M437;2576.0
331;HP Photosmart M517;2576.0
332;HP Photosmart M525;2800.0
333;HP Photosmart M527;2800.0
334;HP Photosmart M537;2848.0
335;HP Photosmart Mz67;3264.0
336;HP Photosmart R507;2320.0
337;HP Photosmart R607;2320.0
338;HP Photosmart R707;2608.0
339;HP Photosmart R717;2864.0
340;HP Photosmart R725;2864.0
341;HP Photosmart R727;2864.0
342;HP Photosmart R742;3096.0
343;HP Photosmart R817;2592.0
344;HP Photosmart R818;2592.0
345;HP Photosmart R837;3112.0
346;HP Photosmart R927;3296.0
347;HP Photosmart R937;3298.0
348;JVC GC-QX3HD;2032.0
349;JVC GC-QX5HD;2032.0
350;Kodak C300;2096.0
351;Kodak C310;2336.0
352;Kodak C330;2336.0
353;Kodak C340;2576.0
354;Kodak C360;2690.0
355;Kodak C433;2304.0
356;Kodak C513;2572.0
357;Kodak C533;2576.0
358;Kodak C613;2848.0
359;Kodak C643;2848.0
360;Kodak C653;2848.0
361;Kodak C663;2832.0
362;Kodak C743;3072.0
363;Kodak C763;3072.0
364;Kodak C875;3264.0
365;Kodak CX4200;1632.0
366;Kodak CX4230;1632.0
367;Kodak CX4300;2080.0
368;Kodak CX6200;1632.0
369;Kodak CX6230;1632.0
370;Kodak CX6330;2032.0
371;Kodak CX7220;0.0
372;Kodak CX7300;2096.0
373;Kodak CX7330;2032.0
374;Kodak CX7430;2408.0
375;Kodak CX7530;2560.0
376;Kodak DC200;1152.0
377;Kodak DC200 plus;1152.0
378;Kodak DC210 plus;1152.0
379;Kodak DC215;1152.0
380;Kodak DC220;1152.0
381;Kodak DC240;1280.0
382;Kodak DC260;1536.0
383;Kodak DC265;1536.0
384;Kodak DC280;1760.0
385;Kodak DC290;1792.0
386;Kodak DC3200;1152.0
387;Kodak DC3400;1760.0
388;Kodak DC3800;1760.0
389;Kodak DC4800;2160.0
390;Kodak DC5000;1760.0
391;Kodak DCS 14n;4536.0
392;Kodak DCS315;1520.0
393;Kodak DCS330;2008.0
394;Kodak DCS420;1524.0
395;Kodak DCS460;3060.0
396;Kodak DCS520;1728.0
397;Kodak DCS560;3040.0
398;Kodak DCS620;1728.0
399;Kodak DCS620x;1728.0
400;Kodak DCS660;3040.0
401;Kodak DCS720x;1728.0
402;Kodak DCS760;3032.0
403;Kodak DCS SLR/c;4500.0
404;Kodak DCS SLR/n;4500.0
405;Kodak DX3215;1280.0
406;Kodak DX3500;1800.0
407;Kodak DX3600;1800.0
408;Kodak DX3700;2160.0
409;Kodak DX3900;2160.0
410;Kodak DX4330;2160.0
411;Kodak DX4530;2580.0
412;Kodak DX4900;2448.0
413;Kodak DX6340;2032.0
414;Kodak DX6440;2304.0
415;Kodak DX6490;2304.0
416;Kodak DX7440;2304.0
417;Kodak DX7590;2576.0
418;Kodak DX7630;2872.0
419;Kodak Easyshare One;2304.0
420;Kodak LS420;1752.0
421;Kodak LS443;2448.0
422;Kodak LS633;2041.0
423;Kodak LS743;2304.0
424;Kodak LS753;2569.0
425;Kodak LS755;2592.0
426;Kodak M753;3056.0
427;Kodak M853;3296.0
428;Kodak M873;3264.0
429;Kodak M883;3280.0
430;Kodak mc3;640.0
431;Kodak P712;3072.0
432;Kodak P850;2592.0
433;Kodak P880;3264.0
434;Kodak V1003;3648.0
435;Kodak V530;2569.0
436;Kodak V550;2569.0
437;Kodak V570;2569.0
438;Kodak V610;2832.0
439;Kodak V705;3072.0
440;Kodak V803;3264.0
441;Kodak Z1275;4000.0
442;Kodak Z612;2848.0
443;Kodak Z650;2848.0
444;Kodak Z700;2304.0
445;Kodak Z710;3072.0
446;Kodak Z712;3072.0
447;Kodak Z730;2576.0
448;Kodak Z740;2576.0
449;Kodak Z7590;2576.0
450;Kodak Z760;2872.0
451;Kodak Z885;3264.0
452;Kyocera Finecam 3300;2048.0
453;Kyocera Finecam L30;2048.0
454;Kyocera Finecam L3V;2048.0
455;Kyocera Finecam L4V;2304.0
456;Kyocera Finecam M400R;2272.0
457;Kyocera Finecam M410R;2272.0
458;Kyocera Finecam S3;2048.0
459;Kyocera Finecam S3L;2048.0
460;Kyocera Finecam S3R;2048.0
461;Kyocera Finecam S3x;2048.0
462;Kyocera Finecam S4;2272.0
463;Kyocera Finecam S5;2560.0
464;Kyocera Finecam S5R;2560.0
465;Kyocera Finecam SL300R;2048.0
466;Kyocera Finecam SL400R;2272.0
467;Leica C-LUX 1;2816.0
468;Leica Digilux;1280.0
469;Leica Digilux 1;2240.0
470;Leica Digilux 2;2560.0
471;Leica Digilux 3;3136.0
472;Leica Digilux 4.3;2400.0
473;Leica Digilux Zoom;1280.0
474;Leica D-LUX 2;3840.0
475;Leica D-LUX 3;4224.0
476;Leica M8;3936.0
477;Leica V-LUX 1;3648.0
478;Nikon Coolpix 100;512.0
479;Nikon Coolpix 2000;1632.0
480;Nikon Coolpix 2100;1600.0
481;Nikon Coolpix 2200;1600.0
482;Nikon Coolpix 2500;1600.0
483;Nikon Coolpix 300;640.0
484;Nikon Coolpix 3100;2048.0
485;Nikon Coolpix 3200;2048.0
486;Nikon Coolpix 3500;2048.0
487;Nikon Coolpix 3700;2048.0
488;Nikon Coolpix 4100;2288.0
489;Nikon Coolpix 4200;2272.0
490;Nikon Coolpix 4300;2272.0
491;Nikon Coolpix 4500;2272.0
492;Nikon Coolpix 4600;2288.0
493;Nikon Coolpix 4800;2288.0
494;Nikon Coolpix 5000;2560.0
495;Nikon Coolpix 5200;2592.0
496;Nikon Coolpix 5400;2592.0
497;Nikon Coolpix 5600;2592.0
498;Nikon Coolpix 5700;2560.0
499;Nikon Coolpix 5900;2592.0
500;Nikon Coolpix 600;1024.0
501;Nikon Coolpix 700;1600.0
502;Nikon Coolpix 7600;3072.0
503;Nikon Coolpix 775;1600.0
504;Nikon Coolpix 7900;3072.0
505;Nikon Coolpix 800;1600.0
506;Nikon Coolpix 8400;3264.0
507;Nikon Coolpix 8700;3264.0
508;Nikon Coolpix 880;2048.0
509;Nikon Coolpix 8800;3264.0
510;Nikon Coolpix 885;2048.0
511;Nikon Coolpix 900;1280.0
512;Nikon Coolpix 900S;1280.0
513;Nikon Coolpix 950;1600.0
514;Nikon Coolpix 990;2048.0
515;Nikon Coolpix 995;2048.0
516;Nikon Coolpix L1;2816.0
517;Nikon Coolpix L10;2560.0
518;Nikon Coolpix L11;2816.0
519;Nikon Coolpix L12;3072.0
520;Nikon Coolpix L14;3072.0
521;Nikon Coolpix L15;3264.0
522;Nikon Coolpix L2;2816.0
523;Nikon Coolpix L3;2592.0
524;Nikon Coolpix L4;2272.0
525;Nikon Coolpix L5;3072.0
526;Nikon Coolpix L6;2816.0
527;Nikon Coolpix P1;3264.0
528;Nikon Coolpix P2;2592.0
529;Nikon Coolpix P3;3264.0
530;Nikon Coolpix P4;3264.0
531;Nikon Coolpix P50;3264.0
532;Nikon Coolpix P5000;3648.0
533;Nikon Coolpix P5100;4000.0
534;Nikon Coolpix S1;2592.0
535;Nikon Coolpix S10;2816.0
536;Nikon Coolpix S2;2592.0
537;Nikon Coolpix S200;3072.0
538;Nikon Coolpix S3;2816.0
539;Nikon Coolpix S4;2816.0
540;Nikon Coolpix S5;2816.0
541;Nikon Coolpix S50;3072.0
542;Nikon Coolpix S500;3072.0
543;Nikon Coolpix S50c;3072.0
544;Nikon Coolpix S51;3264.0
545;Nikon Coolpix S510;3264.0
546;Nikon Coolpix S51c;3264.0
547;Nikon Coolpix S6;2816.0
548;Nikon Coolpix S7c;3072.0
549;Nikon Coolpix S9;2816.0
550;Nikon Coolpix SQ;2016.0
551;Nikon D1;2000.0
552;Nikon D100;3008.0
553;Nikon D1H;2000.0
554;Nikon D1X;3008.0
555;Nikon D200;3872.0
556;Nikon D2H;2464.0
557;Nikon D2Hs;2464.0
558;Nikon D2X;4288.0
559;Nikon D2Xs;4288.0
560;Nikon D3;4256.0
561;Nikon D300;4288.0
562;Nikon D40;3008.0
563;Nikon D40X;3872.0
564;Nikon D50;3008.0
565;Nikon D70;3008.0
566;Nikon D70s;3008.0
567;Nikon D80;3872.0
568;Olympus C-1;1280.0
569;Olympus D-370;1280.0
570;Olympus D-380;1600.0
571;Olympus D-150Z;1280.0
572;Olympus C-2;1600.0
573;Olympus C-2000 Zoom;1600.0
574;Olympus D-510 Zoom;1600.0
575;Olympus C-2020 Zoom;1600.0
576;Olympus C-2040 Zoom;1600.0
577;Olympus C-21;1600.0
578;Olympus C-2100 UZ;1600.0
579;Olympus C-2500 L;1712.0
580;Olympus C-3000 Zoom;2048.0
581;Olympus C-300 Zoom;1984.0
582;Olympus C-3020 Zoom;2048.0
583;Olympus C-3030 Zoom;2048.0
584;Olympus C-3040 Zoom;2048.0
585;Olympus C-4000 Zoom;2288.0
586;Olympus C-4040 Zoom;2272.0
587;Olympus D-40 Zoom;2272.0
588;Olympus C-5000 Zoom;2560.0
589;Olympus C-5050 Zoom;2560.0
590;Olympus C-5060 Zoom;2592.0
591;Olympus C-50 Zoom;2560.0
592;Olympus C-5500 Sport Zoom;2592.0
593;Olympus C-60 Zoom;2816.0
594;Olympus C-7000 Zoom;3072.0
595;Olympus C-700 UZ;1600.0
596;Olympus C-7070 Wide Zoom;3072.0
597;Olympus C-720 UZ;1984.0
598;Olympus C-730 UZ;2048.0
599;Olympus C-740 UZ;2048.0
600;Olympus C-750 UZ;2288.0
601;Olympus C-765 UZ;2288.0
602;Olympus C-770 UZ;2288.0
603;Olympus C-8080 Wide Zoom;3264.0
604;Olympus D-200L;640.0
605;Olympus D-300L;1024.0
606;Olympus D-340L;1280.0
607;Olympus D-340R;1280.0
608;Olympus D-360L;1280.0
609;Olympus D-390;1600.0
610;Olympus D-395;2048.0
611;Olympus D-400 Zoom;1280.0
612;Olympus D-425;2288.0
613;Olympus D-435;2592.0
614;Olympus D-450 Zoom;1280.0
615;Olympus D-460 Zoom;1280.0
616;Olympus D-490 Zoom;1600.0
617;Olympus D-500L;1024.0
618;Olympus D-520 Zoom;1600.0
619;Olympus D-535 Zoom;2048.0
620;Olympus D-540 Zoom;2048.0
621;Olympus D-545 Zoom;2288.0
622;Olympus D-560 Zoom;2048.0
623;Olympus D-580 Zoom;2288.0
624;Olympus D-595 Zoom;2560.0
625;Olympus D-600L;1280.0
626;Olympus D-620L;1280.0
627;Olympus D-630 Zoom;2560.0
628;Olympus E-1;2560.0
629;Olympus E-10;2240.0
630;Olympus E-100 RS;1368.0
631;Olympus E-20;2560.0
632;Olympus E-3;3648.0
633;Olympus E-300;3264.0
634;Olympus E-330;3136.0
635;Olympus E-400;3648.0
636;Olympus E-410;3648.0
637;Olympus E-500;3264.0
638;Olympus E-510;3648.0
639;Olympus FE-100;2272.0
640;Olympus FE-110;2560.0
641;Olympus FE-115;2560.0
642;Olympus FE-120;2816.0
643;Olympus FE-130;2592.0
644;Olympus FE-140;2816.0
645;Olympus FE-150;2560.0
646;Olympus FE-170;2816.0
647;Olympus FE-180;2816.0
648;Olympus FE-190;2816.0
649;Olympus FE-200;2816.0
650;Olympus FE-210;3072.0
651;Olympus FE-230;3072.0
652;Olympus FE-240;3072.0
653;Olympus FE-250;3264.0
654;Olympus FE-270;3072.0
655;Olympus FE-280;3264.0
656;Olympus FE-290;3072.0
657;Olympus FE-300;4000.0
658;Olympus IR-300;2560.0
659;Olympus Stylus 300 ;2048.0
660;Olympus Stylus 400 ;2272.0
661;Olympus SP-310;3072.0
662;Olympus SP-320;3072.0
663;Olympus SP-350;3264.0
664;Olympus SP-500 UZ;2816.0
665;Olympus SP-510 UZ;3072.0
666;Olympus SP-550 UZ;3072.0
667;Olympus SP-560 UZ;3264.0
668;Olympus SP-700;2816.0
669;Olympus Stylus 1000;3648.0
670;Olympus Stylus 1200;4000.0
671;Olympus Stylus 410 ;2272.0
672;Olympus Stylus 500 ;2560.0
673;Olympus Stylus 600 ;2816.0
674;Olympus Stylus 700 ;3072.0
675;Olympus Stylus 720 SW ;3072.0
676;Olympus Stylus 725 SW;3072.0
677;Olympus Stylus 730;3072.0
678;Olympus Stylus 740;3072.0
679;Olympus Stylus 750;3072.0
680;Olympus Stylus 760;3072.0
681;Olympus Stylus 770 SW;3072.0
682;Olympus Stylus 780;3072.0
683;Olympus Stylus 790 SW;3072.0
684;Olympus Stylus 800 ;3264.0
685;Olympus Stylus 810 ;3264.0
686;Olympus Stylus 820;3264.0
687;Olympus Stylus 830;3248.0
688;Olympus Stylus Verve ;2272.0
689;Olympus Stylus Verve  S;2560.0
690;Panasonic Lumix DMC-F7;1600.0
691;Panasonic Lumix DMC-FX01;2816.0
692;Panasonic Lumix DMC-FX07;3072.0
693;Panasonic Lumix DMC-FX1;2048.0
694;Panasonic Lumix DMC-FX10;2816.0
695;Panasonic Lumix DMC-FX100;4000.0
696;Panasonic Lumix DMC-FX12;3072.0
697;Panasonic Lumix DMC-FX2;2304.0
698;Panasonic Lumix DMC-FX3;2816.0
699;Panasonic Lumix DMC-FX30;3072.0
700;Panasonic Lumix DMC-FX33;3264.0
701;Panasonic Lumix DMC-FX5;2304.0
702;Panasonic Lumix DMC-FX50;3072.0
703;Panasonic Lumix DMC-FX55;3264.0
704;Panasonic Lumix DMC-FX7;2560.0
705;Panasonic Lumix DMC-FX8;2560.0
706;Panasonic Lumix DMC-FX9;2816.0
707;Panasonic Lumix DMC-FZ1;1600.0
708;Panasonic Lumix DMC-FZ10;2304.0
709;Panasonic Lumix DMC-FZ18;3264.0
710;Panasonic Lumix DMC-FZ2;1600.0
711;Panasonic Lumix DMC-FZ20;2560.0
712;Panasonic Lumix DMC-FZ3;2016.0
713;Panasonic Lumix DMC-FZ30;3264.0
714;Panasonic Lumix DMC-FZ4;2304.0
715;Panasonic Lumix DMC-FZ5;2560.0
716;Panasonic Lumix DMC-FZ50;3648.0
717;Panasonic Lumix DMC-FZ7;2816.0
718;Panasonic Lumix DMC-FZ8;3072.0
719;Panasonic Lumix DMC-L1;3136.0
720;Panasonic Lumix DMC-L10;3648.0
721;Panasonic Lumix DMC-LC1;2560.0
722;Panasonic Lumix DMC-LC20;1600.0
723;Panasonic Lumix DMC-LC33;2048.0
724;Panasonic Lumix DMC-LC40;2240.0
725;Panasonic Lumix DMC-LC43;2304.0
726;Panasonic Lumix DMC-LC5;2240.0
727;Panasonic Lumix DMC-LC50;2048.0
728;Panasonic Lumix DMC-LC70;2304.0
729;Panasonic Lumix DMC-LC80;2560.0
730;Panasonic Lumix DMC-LS1;2304.0
731;Panasonic Lumix DMC-LS2;2560.0
732;Panasonic Lumix DMC-LS60;2816.0
733;Panasonic Lumix DMC-LS75;3072.0
